title,genres,clean_title
Miracle on 34th Street (1994),Drama,Miracle on 34th Street
Miami Rhapsody (1995),Comedy,Miami Rhapsody
My Family (1995),Drama,My Family
Murder in the First (1995),Drama Thriller,Murder in the First
Nobody's Fool (1994),Comedy Drama Romance,Nobody's Fool
Nell (1994),Drama,Nell
New Jersey Drive (1995),Crime Drama,New Jersey Drive
New York Cop (Nyû Yôku no koppu) (1993),Action Crime,New York Cop (Nyû Yôku no koppu)
Beyond Bedlam (1993),Drama Horror,Beyond Bedlam
Nina Takes a Lover (1994),Comedy Romance,Nina Takes a Lover
Natural Born Killers (1994),Action Crime Thriller,Natural Born Killers
Only You (1994),Comedy Romance,Only You
Once Were Warriors (1994),Crime Drama,Once Were Warriors
Poison Ivy II (1996),Drama Thriller,Poison Ivy II
Outbreak (1995),Action Drama Sci-Fi Thriller,Outbreak
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action Crime Drama Thriller,Léon: The Professional (a.k.a. The Professional) (Léon)
"Perez Family, The (1995)",Comedy Romance,"Perez Family, The"
"Pyromaniac's Love Story, A (1995)",Comedy Romance,"Pyromaniac's Love Story, A"
Pulp Fiction (1994),Comedy Crime Drama Thriller,Pulp Fiction
Pushing Hands (Tui shou) (1992),Drama,Pushing Hands (Tui shou)
Priest (1994),Drama,Priest
Quiz Show (1994),Drama,Quiz Show
Picture Bride (Bijo photo) (1994),Drama Romance,Picture Bride (Bijo photo)
"Queen Margot (Reine Margot, La) (1994)",Drama Romance,"Queen Margot (Reine Margot, La)"
"Quick and the Dead, The (1995)",Action Thriller Western,"Quick and the Dead, The"
Roommates (1995),Comedy Drama,Roommates
Ready to Wear (Pret-A-Porter) (1994),Comedy,Ready to Wear (Pret-A-Porter)
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Three Colors: Red (Trois couleurs: Rouge)
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Three Colors: Blue (Trois couleurs: Bleu)
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy Drama,Three Colors: White (Trzy kolory: Bialy)
Rent-a-Kid (1995),Comedy,Rent-a-Kid
Relative Fear (1994),Horror Thriller,Relative Fear
Stuart Saves His Family (1995),Comedy,Stuart Saves His Family
"Swan Princess, The (1994)",Animation Children,"Swan Princess, The"
"Secret of Roan Inish, The (1994)",Children Drama Fantasy Mystery,"Secret of Roan Inish, The"
"Specialist, The (1994)",Action Drama Thriller,"Specialist, The"
Stargate (1994),Action Adventure Sci-Fi,Stargate
"Santa Clause, The (1994)",Comedy Drama Fantasy,"Santa Clause, The"
"Shawshank Redemption, The (1994)",Crime Drama,"Shawshank Redemption, The"
Shallow Grave (1994),Comedy Drama Thriller,Shallow Grave
Suture (1993),Film-Noir Thriller,Suture
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Strawberry and Chocolate (Fresa y chocolate)
Swimming with Sharks (1995),Comedy Drama,Swimming with Sharks
"Sum of Us, The (1994)",Comedy Drama,"Sum of Us, The"
National Lampoon's Senior Trip (1995),Comedy,National Lampoon's Senior Trip
To Live (Huozhe) (1994),Drama,To Live (Huozhe)
Tank Girl (1995),Action Comedy Sci-Fi,Tank Girl
Tales from the Crypt Presents: Demon Knight (1995),Horror Thriller,Tales from the Crypt Presents: Demon Knight
Star Trek: Generations (1994),Adventure Drama Sci-Fi,Star Trek: Generations
Tales from the Hood (1995),Action Crime Horror,Tales from the Hood
Tom & Viv (1994),Drama,Tom & Viv
Village of the Damned (1995),Horror Sci-Fi,Village of the Damned
Tommy Boy (1995),Comedy,Tommy Boy
Vanya on 42nd Street (1994),Drama,Vanya on 42nd Street
Underneath (1995),Mystery Thriller,Underneath
"Walking Dead, The (1995)",Drama War,"Walking Dead, The"
What's Eating Gilbert Grape (1993),Drama,What's Eating Gilbert Grape
Virtuosity (1995),Action Sci-Fi Thriller,Virtuosity
While You Were Sleeping (1995),Comedy Romance,While You Were Sleeping
"War, The (1994)",Adventure Drama War,"War, The"
Double Happiness (1994),Drama,Double Happiness
Muriel's Wedding (1994),Comedy,Muriel's Wedding
"Baby-Sitters Club, The (1995)",Children,"Baby-Sitters Club, The"
Ace Ventura: Pet Detective (1994),Comedy,Ace Ventura: Pet Detective
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy Drama,"Adventures of Priscilla, Queen of the Desert, The"
Backbeat (1993),Drama Musical,Backbeat
Bitter Moon (1992),Drama Film-Noir Romance,Bitter Moon
Bullets Over Broadway (1994),Comedy,Bullets Over Broadway
Clear and Present Danger (1994),Action Crime Drama Thriller,Clear and Present Danger
"Client, The (1994)",Drama Mystery Thriller,"Client, The"
"Corrina, Corrina (1994)",Comedy Drama Romance,"Corrina, Corrina"
Crooklyn (1994),Comedy Drama,Crooklyn
"Crow, The (1994)",Action Crime Fantasy Thriller,"Crow, The"
Cobb (1994),Drama,Cobb
"Flintstones, The (1994)",Children Comedy Fantasy,"Flintstones, The"
Forrest Gump (1994),Comedy Drama Romance War,Forrest Gump
Four Weddings and a Funeral (1994),Comedy Romance,Four Weddings and a Funeral
Higher Learning (1995),Drama,Higher Learning
I Like It Like That (1994),Comedy Drama Romance,I Like It Like That
I Love Trouble (1994),Action Comedy,I Love Trouble
It Could Happen to You (1994),Comedy Drama Romance,It Could Happen to You
"Jungle Book, The (1994)",Adventure Children Romance,"Jungle Book, The"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)"
"Lion King, The (1994)",Adventure Animation Children Drama Musical IMAX,"Lion King, The"
Little Buddha (1993),Drama,Little Buddha
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama Horror Mystery Thriller,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
"Mask, The (1994)",Action Comedy Crime Fantasy,"Mask, The"
Maverick (1994),Adventure Comedy Western,Maverick
Mrs. Parker and the Vicious Circle (1994),Drama,Mrs. Parker and the Vicious Circle
Naked Gun 33 1/3: The Final Insult (1994),Action Comedy,Naked Gun 33 1/3: The Final Insult
"Paper, The (1994)",Comedy Drama,"Paper, The"
Reality Bites (1994),Comedy Drama Romance,Reality Bites
Red Rock West (1992),Thriller,Red Rock West
Richie Rich (1994),Children Comedy,Richie Rich
"River Wild, The (1994)",Action Thriller,"River Wild, The"
Speed (1994),Action Romance Thriller,Speed
Speechless (1994),Comedy Romance,Speechless
Timecop (1994),Action Sci-Fi Thriller,Timecop
True Lies (1994),Action Adventure Comedy Romance Thriller,True Lies
When a Man Loves a Woman (1994),Drama Romance,When a Man Loves a Woman
Wolf (1994),Drama Horror Romance Thriller,Wolf
Wyatt Earp (1994),Western,Wyatt Earp
Bad Company (1995),Action Crime Drama,Bad Company
"Man of No Importance, A (1994)",Drama,"Man of No Importance, A"
S.F.W. (1994),Drama,S.F.W.
"Low Down Dirty Shame, A (1994)",Action Comedy,"Low Down Dirty Shame, A"
Boys Life (1995),Drama,Boys Life
"Colonel Chabert, Le (1994)",Drama Romance War,"Colonel Chabert, Le"
Faster Pussycat! Kill! Kill! (1965),Action Crime Drama,Faster Pussycat! Kill! Kill!
Jason's Lyric (1994),Crime Drama,Jason's Lyric
Street Fighter (1994),Action Adventure Fantasy,Street Fighter
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action Fantasy,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)
Federal Hill (1994),Drama,Federal Hill
In the Mouth of Madness (1995),Horror Thriller,In the Mouth of Madness
8 Seconds (1994),Drama,8 Seconds
Above the Rim (1994),Crime Drama,Above the Rim
Addams Family Values (1993),Children Comedy Fantasy,Addams Family Values
"Age of Innocence, The (1993)",Drama,"Age of Innocence, The"
Airheads (1994),Comedy,Airheads
"Air Up There, The (1994)",Comedy,"Air Up There, The"
Another Stakeout (1993),Comedy Thriller,Another Stakeout
Bad Girls (1994),Western,Bad Girls
Barcelona (1994),Comedy Romance,Barcelona
Being Human (1993),Drama,Being Human
"Beverly Hillbillies, The (1993)",Comedy,"Beverly Hillbillies, The"
Beverly Hills Cop III (1994),Action Comedy Crime Thriller,Beverly Hills Cop III
Black Beauty (1994),Adventure Children Drama,Black Beauty
Blink (1994),Thriller,Blink
Blown Away (1994),Action Thriller,Blown Away
Blue Chips (1994),Drama,Blue Chips
Blue Sky (1994),Drama Romance,Blue Sky
Body Snatchers (1993),Horror Sci-Fi Thriller,Body Snatchers
Boxing Helena (1993),Drama Mystery Romance Thriller,Boxing Helena
"Bronx Tale, A (1993)",Drama,"Bronx Tale, A"
Cabin Boy (1994),Comedy,Cabin Boy
Calendar Girl (1993),Comedy Drama,Calendar Girl
Carlito's Way (1993),Crime Drama,Carlito's Way
City Slickers II: The Legend of Curly's Gold (1994),Adventure Comedy Western,City Slickers II: The Legend of Curly's Gold
Clean Slate (1994),Comedy,Clean Slate
Cliffhanger (1993),Action Adventure Thriller,Cliffhanger
Coneheads (1993),Comedy Sci-Fi,Coneheads
Color of Night (1994),Drama Thriller,Color of Night
Cops and Robbersons (1994),Comedy,Cops and Robbersons
"Cowboy Way, The (1994)",Action Comedy Drama,"Cowboy Way, The"
Dave (1993),Comedy Romance,Dave
Dazed and Confused (1993),Comedy,Dazed and Confused
Demolition Man (1993),Action Adventure Sci-Fi,Demolition Man
Even Cowgirls Get the Blues (1993),Comedy Romance,Even Cowgirls Get the Blues
Fatal Instinct (1993),Comedy,Fatal Instinct
Farewell My Concubine (Ba wang bie ji) (1993),Drama Romance,Farewell My Concubine (Ba wang bie ji)
Fearless (1993),Drama,Fearless
Fear of a Black Hat (1994),Comedy,Fear of a Black Hat
With Honors (1994),Comedy Drama,With Honors
Flesh and Bone (1993),Drama Mystery Romance,Flesh and Bone
Widows' Peak (1994),Drama,Widows' Peak
For Love or Money (1993),Comedy Romance,For Love or Money
"Firm, The (1993)",Drama Thriller,"Firm, The"
Free Willy (1993),Adventure Children Drama,Free Willy
Fresh (1994),Crime Drama Thriller,Fresh
"Fugitive, The (1993)",Thriller,"Fugitive, The"
Geronimo: An American Legend (1993),Drama Western,Geronimo: An American Legend
"Getaway, The (1994)",Action Adventure Crime Drama Romance Thriller,"Getaway, The"
Getting Even with Dad (1994),Comedy,Getting Even with Dad
Go Fish (1994),Drama Romance,Go Fish
Hard Target (1993),Action Adventure Crime Thriller,Hard Target
Hot Shots! Part Deux (1993),Action Comedy War,Hot Shots! Part Deux
Live Nude Girls (1995),Comedy,Live Nude Girls
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy Romance,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
"House of the Spirits, The (1993)",Drama Romance,"House of the Spirits, The"
House Party 3 (1994),Comedy,House Party 3
"Hudsucker Proxy, The (1994)",Comedy,"Hudsucker Proxy, The"
I'll Do Anything (1994),Comedy Drama,I'll Do Anything
In the Army Now (1994),Comedy War,In the Army Now
In the Line of Fire (1993),Action Thriller,In the Line of Fire
In the Name of the Father (1993),Drama,In the Name of the Father
"Inkwell, The (1994)",Comedy Drama,"Inkwell, The"
What's Love Got to Do with It? (1993),Drama Musical,What's Love Got to Do with It?
Jimmy Hollywood (1994),Comedy Crime Drama,Jimmy Hollywood
Judgment Night (1993),Action Crime Thriller,Judgment Night
Jurassic Park (1993),Action Adventure Sci-Fi Thriller,Jurassic Park
Kalifornia (1993),Drama Thriller,Kalifornia
Killing Zoe (1994),Crime Drama Thriller,Killing Zoe
Lassie (1994),Adventure Children,Lassie
Last Action Hero (1993),Action Adventure Comedy Fantasy,Last Action Hero
Life with Mikey (1993),Comedy,Life with Mikey
Lightning Jack (1994),Comedy Western,Lightning Jack
M. Butterfly (1993),Drama Romance,M. Butterfly
Made in America (1993),Comedy,Made in America
Malice (1993),Thriller,Malice
"Man Without a Face, The (1993)",Drama,"Man Without a Face, The"
Manhattan Murder Mystery (1993),Comedy Mystery,Manhattan Murder Mystery
Menace II Society (1993),Action Crime Drama,Menace II Society
Executive Decision (1996),Action Adventure Thriller,Executive Decision
In the Realm of the Senses (Ai no corrida) (1976),Drama,In the Realm of the Senses (Ai no corrida)
What Happened Was... (1994),Comedy Drama Romance Thriller,What Happened Was...
Much Ado About Nothing (1993),Comedy Romance,Much Ado About Nothing
Mr. Wonderful (1993),Comedy Romance,Mr. Wonderful
Mrs. Doubtfire (1993),Comedy Drama,Mrs. Doubtfire
Naked (1993),Drama,Naked
"Next Karate Kid, The (1994)",Action Children Romance,"Next Karate Kid, The"
No Escape (1994),Action Drama Sci-Fi,No Escape
North (1994),Comedy,North
Orlando (1992),Drama Fantasy Romance,Orlando
"Perfect World, A (1993)",Crime Drama Thriller,"Perfect World, A"
Philadelphia (1993),Drama,Philadelphia
"Piano, The (1993)",Drama Romance,"Piano, The"
Poetic Justice (1993),Drama,Poetic Justice
"Program, The (1993)",Action Drama,"Program, The"
"Puppet Masters, The (1994)",Horror Sci-Fi,"Puppet Masters, The"
